,geocode
1335,"Judenburg, Bezirk Murtal, Steiermark, 8750, Österreich"
1337,"Gemeinde Kematen in Tirol, Bezirk Innsbruck-Land, Tirol, 6175, Österreich"
1338,"Neuhofen an der Krems, Bezirk Linz-Land, Oberösterreich, 4501, Österreich"
1339,"Reifnitz, Völkermarkt, Bezirk Völkermarkt, Kärnten, 9100, Österreich"
1340,"Gemeinde Kirchdorf in Tirol, Bezirk Kitzbühel, Tirol, Österreich"
1341,"Kirchschlag bei Linz, Bezirk Urfahr-Umgebung, Oberösterreich, 4202, Österreich"
1345,
1346,"Kössen, B172, Waidach, Kössen, Gemeinde Kössen, Bezirk Kitzbühel, Tirol, 6345, Österreich"
1347,
1348,"Kötschach-Mauthen, Schlanke Gasse, Kötschach, Kötschach-Mauthen, Bezirk Hermagor, Kärnten, 9640, Österreich"
1349,"Kollerschlag, Bezirk Rohrbach, Oberösterreich, 4154, Österreich"
1350,"Gemeinde Kolsass, Bezirk Innsbruck-Land, Tirol, 6114, Österreich"
1351,"Korneuburg, Gemeinde Korneuburg, Bezirk Korneuburg, Niederösterreich, 2100, Österreich"
1353,"Krenglbach, Bezirk Wels-Land, Oberösterreich, 4631, Österreich"
1354,"Leobendorf, Gemeinde Leobendorf, Bezirk Korneuburg, Niederösterreich, 2199, Österreich"
1355,"Krimml, Bezirk Zell am See, Salzburg, 5743, Österreich"
1356,"Marktgemeinde Kundl, Bezirk Kufstein, Tirol, 6250, Österreich"
1358,"Brand, Pyrat, Gemeinde Brand-Laaben, Bezirk St. Pölten, Niederösterreich, 3053, Österreich"
1359,
1360,"Lamprechtshausen, Bezirk Salzburg-Umgebung, Salzburg, 5112, Österreich"
1361,"Landskron, Villach, Kärnten, 9523, Österreich"
1362,"Langenlois, Gemeinde Langenlois, Bezirk Krems, Niederösterreich, 3550, Österreich"
1363,"Gemeinde Langen bei Bregenz, Bezirk Bregenz, Vorarlberg, 6932, Österreich"
1364,"Launsdorf, Sankt Georgen am Längsee, Bezirk Sankt Veit an der Glan, Kärnten, 9314, Österreich"
1365,
1366,"Gemeinde Lech, Bezirk Bludenz, Vorarlberg, Österreich"
1367,
1368,"Leibnitz, Bezirk Leibnitz, Steiermark, 8430, Österreich"
1369,"Kapfenberg, Bezirk Bruck-Mürzzuschlag, Steiermark, 8605, Österreich"
1370,"Leogang, Bezirk Zell am See, Salzburg, 5771, Österreich"
1372,"Oberhaag, Bezirk Leibnitz, Steiermark, 8455, Österreich"
1373,"Stainz, Bezirk Deutschlandsberg, Steiermark, 8510, Österreich"
1374,"Rennweg, Steuerberg, Bezirk Feldkirchen, Kärnten, 9560, Österreich"
1375,"Mautern in Steiermark, Bezirk Leoben, Steiermark, 8774, Österreich"
1376,"Bezirk Liezen, Steiermark, Österreich"
1377,"Ligist, Bezirk Voitsberg, Steiermark, 8563, Österreich"
1378,"1100 Jahre Lochen, Seestraße, Intenham, Feldbach, Lochen am See, Bezirk Braunau am Inn, Oberösterreich, 5221, Österreich"
1379,"Lockenhaus, Bezirk Oberpullendorf, Burgenland, 7442, Österreich"
1380,"Lohnsburg am Kobernaußerwald, Bezirk Ried im Innkreis, Oberösterreich, 4923, Österreich"
1381,
1382,"Marktgemeinde Lustenau, Bezirk Dornbirn, Vorarlberg, Österreich"
1383,"Lutzmannsburg, Bezirk Oberpullendorf, Burgenland, 7361, Österreich"
1384,"Maishofen, Bezirk Zell am See, Salzburg, 5751, Österreich"
1385,"Malta, Bezirk Spittal an der Drau, Kärnten, 9854, Österreich"
1386,"Maria Saal, Bezirk Klagenfurt-Land, Kärnten, 9063, Österreich"
1387,"Maria Schmolln, Bezirk Braunau am Inn, Oberösterreich, 5241, Österreich"
1388,"Mariapfarr, Bezirk Tamsweg, Salzburg, 5571, Österreich"
1389,"Mariazell, Bezirk Bruck-Mürzzuschlag, Steiermark, 8630, Österreich"
1390,"Markt Hartmannsdorf, Bezirk Weiz, Steiermark, 8311, Österreich"
1391,"Neukirchen am Großvenediger, Marktgemeinde Neukirchen am Großvenediger, Bezirk Zell am See, Salzburg, 5741, Österreich"
1392,"Marktgemeinde Matrei in Osttirol, Bezirk Lienz, Tirol, 9971, Österreich"
1393,"Schalchen, Bezirk Braunau am Inn, Oberösterreich, 5231, Österreich"
1394,"Mauterndorf, Bezirk Tamsweg, Salzburg, 5570, Österreich"
1396,"Meggenhofen, Bezirk Grieskirchen, Oberösterreich, 4714, Österreich"
1397,"Michaelbeuern, Dorfbeuern, Bezirk Salzburg-Umgebung, Salzburg, 5152, Österreich"
1398,"Michelhausen, Bezirk Tulln, Niederösterreich, 3451, Österreich"
1399,"Gemeinde Mieming, Bezirk Imst, Tirol, 6414, Österreich"
1400,"Seeboden am Millstätter See, Bezirk Spittal an der Drau, Kärnten, 9871, Österreich"
1401,"Egg, Gemeinde Egg, Bezirk Bregenz, Vorarlberg, 686, Österreich"
1402,"Gemeinde Deutschkreutz, Bezirk Oberpullendorf, Burgenland, 7301, Österreich"
1403,"Gemeinde Ritzing, Bezirk Oberpullendorf, Burgenland, 7323, Österreich"
1404,"Mittersill, Bezirk Zell am See, Salzburg, 5730, Österreich"
1406,"Obervellach, Bezirk Spittal an der Drau, Kärnten, 9821, Österreich"
1407,"Krieglach, Bezirk Bruck-Mürzzuschlag, Steiermark, 8670, Österreich"
1408,"Paldau, Bezirk Südoststeiermark, Steiermark, 8341, Österreich"
1409,"Oberneukirchen, Bezirk Urfahr-Umgebung, Oberösterreich, 4181, Österreich"
1410,"Marktgemeinde Brixlegg, Bezirk Kufstein, Tirol, 6230, Österreich"
1411,
1412,
1413,"Mondsee, Bezirk Vöcklabruck, Oberösterreich, 5310, Österreich"
1414,"Moosburg, Bezirk Klagenfurt-Land, Kärnten, 9062, Österreich"
1415,"Mooskirchen, Bezirk Voitsberg, Steiermark, 8562, Österreich"
1416,
1417,"Bezirk Murau, Steiermark, Österreich"
1418,"Mureck, Bezirk Südoststeiermark, Steiermark, 8480, Österreich"
1419,"Gemeinde Nauders, Bezirk Landeck, Tirol, 6543, Österreich"
1420,"Gemeinde Neckenmarkt, Bezirk Oberpullendorf, Burgenland, 7311, Österreich"
1421,"Nestelbach, Großklein, Bezirk Leibnitz, Steiermark, 8452, Österreich"
1422,
1423,"Neumarkt, Bahnhofstraße, Sankt Marein bei Neumarkt, Neumarkt in der Steiermark, Bezirk Murau, Steiermark, 8820, Österreich"
1424,"Gemeinde Neustift im Stubaital, Bezirk Innsbruck-Land, Tirol, 6167, Österreich"
1425,"Niederwaldkirchen, Bezirk Rohrbach, Oberösterreich, 4174, Österreich"
1426,"Grafendorf, Friesach, Bezirk Sankt Veit an der Glan, Kärnten, 9360, Österreich"
1427,"Aspang, Königsberger Straße, Unteraspang, Aspang Markt, Gemeinde Aspang, Bezirk Neunkirchen, Niederösterreich, 2870, Österreich"
1428,"KG Nussdorf, Döbling, Wien, 1190, Österreich"
1429,"Obdach, Bezirk Murtal, Steiermark, 8742, Österreich"
1430,"Oberalm, Bezirk Hallein, Salzburg, 5411, Österreich"
1431,"Oberdrauburg, Bezirk Spittal an der Drau, Kärnten, 9781, Österreich"
1432,"Greifenburg, Bezirk Spittal an der Drau, Kärnten, 9761, Österreich"
1433,"Eggelsberg, Bezirk Braunau am Inn, Oberösterreich, 5142, Österreich"
1434,"Bad Sankt Leonhard im Lavanttal, Bezirk Wolfsberg, Kärnten, 9462, Österreich"
1435,"Winklern, Bezirk Spittal an der Drau, Kärnten, 9841, Österreich"
1436,"Mürzzuschlag, Nansenweg, Lambach, Mürzzuschlag, Bezirk Bruck-Mürzzuschlag, Steiermark, 8680, Österreich"
1437,"Weißenbach, Liezen, Bezirk Liezen, Steiermark, 8940, Österreich"
1438,"Schrems, Bezirk Gmünd, Niederösterreich, Österreich"
1439,"Gemeinde Zams, Bezirk Landeck, Tirol, 6511, Österreich"
1440,"Gemeinde Elbigenalp, Bezirk Reutte, Tirol, 6652, Österreich"
1441,
1442,"Öblarn, Politische Expositur Gröbming, Bezirk Liezen, Steiermark, 8960, Österreich"
1443,"Ohlsdorf, Bezirk Gmunden, Oberösterreich, 4694, Österreich"
1444,"Bodensdorf, Steindorf am Ossiacher See, Bezirk Feldkirchen, Kärnten, 9552, Österreich"
1445,"Gemeinde Ottenschlag, Bezirk Zwettl, Niederösterreich, 3631, Österreich"
1446,"Pabneukirchen, Bezirk Perg, Oberösterreich, 4363, Österreich"
1447,"Pamhagen, Bezirk Neusiedl am See, Burgenland, 7152, Österreich"
1448,"Passail, Bezirk Weiz, Steiermark, 8162, Österreich"
1449,"Gemeinde Payerbach, Bezirk Neunkirchen, Niederösterreich, 2650, Österreich"
1450,"Gemeinde Ischgl, Bezirk Landeck, Tirol, Österreich"
1452,"Peuerbach, Bezirk Grieskirchen, Oberösterreich, 4722, Österreich"
1453,"Piesendorf, Bezirk Zell am See, Salzburg, 5721, Österreich"
1454,"Piesting, Sägewerk, Unterscheid, Gemeinde Gutenstein, Bezirk Wiener Neustadt, Niederösterreich, 2770, Österreich"
1455,"Pischelsdorf, Gemeinde Götzendorf, Bezirk Bruck an der Leitha, Niederösterreich, 2434, Österreich"
1456,"Gemeinde Pitten, Bezirk Neunkirchen, Niederösterreich, 2823, Österreich"
1457,"Gemeinde Wenns, Bezirk Imst, Tirol, 6473, Österreich"
1458,"Podersdorf am See, Bezirk Neusiedl am See, Burgenland, 7141, Österreich"
1459,
1460,"Birkfeld, Bezirk Weiz, Steiermark, 8190, Österreich"
1461,"Fohnsdorf, Bezirk Murtal, Steiermark, 8753, Österreich"
1462,
1463,"Prambachkirchen, Bezirk Eferding, Oberösterreich, 4731, Österreich"
1464,"Pramet, Bezirk Ried im Innkreis, Oberösterreich, 4925, Österreich"
1465,"Preding, Bezirk Deutschlandsberg, Steiermark, 8504, Österreich"
1467,"Radenthein, Bezirk Spittal an der Drau, Kärnten, 9545, Österreich"
1468,"Radstadt, Bezirk St. Johann im Pongau, Salzburg, 5550, Österreich"
1469,"Marktgemeinde Rankweil, Bezirk Feldkirch, Vorarlberg, 6830, Österreich"
1470,"Rauris, Bezirk Zell am See, Salzburg, 5661, Österreich"
1473,"Bad Leonfelden, Bezirk Urfahr-Umgebung, Oberösterreich, 4190, Österreich"
1475,"Braunau am Inn, Bezirk Braunau am Inn, Oberösterreich, 5280, Österreich"
1478,"Gemeinde Wieselburg, Bezirk Scheibbs, Niederösterreich, 3250, Österreich"
1481,"Gleisdorf, Bezirk Weiz, Steiermark, 8200, Österreich"
1484,"Haag am Hausruck, Bezirk Grieskirchen, Oberösterreich, 4680, Österreich"
1487,"Micheldorf, Bezirk Sankt Veit an der Glan, Kärnten, 9322, Österreich"
1488,"Molln, Bezirk Kirchdorf, Oberösterreich, 4591, Österreich"
1489,"Nußbach, Bezirk Kirchdorf, Oberösterreich, 4542, Österreich"
1490,"Pettenbach, Bezirk Kirchdorf, Oberösterreich, 4643, Österreich"
1491,"Ried im Traunkreis, Bezirk Kirchdorf, Oberösterreich, 4551, Österreich"
1492,"Schlierbach, Bezirk Kirchdorf, Oberösterreich, 4553, Österreich"
1493,"Sankt Peter am Wimberg, Bezirk Rohrbach, Oberösterreich, 4171, Österreich"
1494,"Parndorf/Pandrof, Bezirk Neusiedl am See, Burgenland, 7111, Österreich"
1495,"Pregarten, Bezirk Freistadt, Oberösterreich, 4230, Österreich"
1499,"Loosdorf, Gemeinde Loosdorf, Bezirk Melk, Niederösterreich, 3382, Österreich"
1503,"Sierning, Bezirk Steyr-Land, Oberösterreich, 4522, Österreich"
1506,"Garsten, Bezirk Steyr-Land, Oberösterreich, 4451, Österreich"
1508,"Absdorf, Bezirk Tulln, Niederösterreich, 3462, Österreich"
1509,"Zwettl, Bezirk Zwettl, Niederösterreich, 3910, Österreich"
1510,
1511,"Reichenau/Mühlkreis, Gewerbezeile, Ramberg, Reichenau im Mühlkreis, Bezirk Urfahr-Umgebung, Oberösterreich, 4204, Österreich"
1512,"Ebene Reichenau, Reichenau, Bezirk Feldkirchen, Kärnten, 9565, Österreich"
1513,"Gemeinde Reith im Alpbachtal, Bezirk Kufstein, Tirol, Österreich"
1516,"Ried, Gemeinde Ried im Oberinntal, Bezirk Landeck, Tirol, Österreich"
1517,"Riegersburg, Bezirk Südoststeiermark, Steiermark, Österreich"
1518,
1519,"Saalbach, Saalbach-Hinterglemm, Bezirk Zell am See, Salzburg, 5753, Österreich"
1521,"Salzburg Liefering, Bahnbegleitweg, Liefering, Rott, Salzburg, 5020, Österreich"
1522,"Salzburg Maxglan, Kugelhofstraße, Neu-Maxglan, Maxglan, Salzburg, 5020, Österreich"
1525,"Sankt Stefan ob Stainz, Bezirk Deutschlandsberg, Steiermark, 8511, Österreich"
1526,"Schladming, Politische Expositur Gröbming, Bezirk Liezen, Steiermark, 8970, Österreich"
1527,"Schwertberg, Bezirk Perg, Oberösterreich, 4311, Österreich"
1528,"Gemeinde Hadres, Bezirk Hollabrunn, Niederösterreich, 2061, Österreich"
1529,"Gemeinde Seefeld in Tirol, Bezirk Innsbruck-Land, Tirol, 6100, Österreich"
1530,"Tadten, Bezirk Neusiedl am See, Burgenland, 7162, Österreich"
1531,"Wallern im Burgenland, Bezirk Neusiedl am See, Burgenland, 7151, Österreich"
1532,"Andau, Bezirk Neusiedl am See, Burgenland, 7163, Österreich"
1533,"Gemeinde Serfaus, Bezirk Landeck, Tirol, 6534, Österreich"
1534,"Sillian, Marktgemeinde Sillian, Bezirk Lienz, Tirol, 9920, Österreich"
1535,"Gemeinde Silz, Bezirk Imst, Tirol, Österreich"
1536,"Sirnitz, Albeck, Bezirk Feldkirchen, Kärnten, 9571, Österreich"
1538,"Söll, Gänsleit, Bach, Söll, Gemeinde Söll, Langkampfen, Bezirk Kufstein, Tirol, 6306, Österreich"
1539,"St. Agatha, Kirchenplatz, Pötzling, Königsdorf, St. Agatha, Bezirk Grieskirchen, Oberösterreich, 4084, Österreich"
1540,"Gemeinde Sankt Anton am Arlberg, Bezirk Landeck, Tirol, 6580, Österreich"
1541,"Sankt Georgen an der Stiefing, Bezirk Leibnitz, Steiermark, Österreich"
1542,
1543,"Sankt Gilgen, Bezirk Salzburg-Umgebung, Salzburg, 5340, Österreich"
1544,"Sankt Johann im Pongau, Bezirk St. Johann im Pongau, Salzburg, 5600, Österreich"
1545,"Sankt Koloman, Bezirk Hallein, Salzburg, 5423, Österreich"
1546,"Sankt Marein im Mürztal, Bezirk Bruck-Mürzzuschlag, Steiermark, 8641, Österreich"
1547,"Sankt Marien, Bezirk Linz-Land, Oberösterreich, 4502, Österreich"
1548,"Sankt Martin, Sankt Martin bei Lofer, Gemeinde Sankt Martin bei Lofer, Bezirk Zell am See, Salzburg, 5092, Österreich"
1549,
1550,"Sankt Michael im Lungau, Bezirk Tamsweg, Salzburg, 5582, Österreich"
1551,"Sankt Paul, Ferndorf, Bezirk Villach-Land, Kärnten, 9702, Österreich"
1552,"Sankt Roman, Bezirk Schärding, Oberösterreich, 4793, Österreich"
1553,"Sankt Stefan im Rosental, Bezirk Südoststeiermark, Steiermark, 8083, Österreich"
1554,"Sankt Stefan, Großedling, Wolfsberg, Bezirk Wolfsberg, Kärnten, 9400, Österreich"
1555,"St. Stefan ob Leoben, Bezirk Leoben, Steiermark, 8713, Österreich"
1556,"Gemeinde Waidring, Bezirk Kitzbühel, Tirol, 6384, Österreich"
1557,"St. Florian am Inn, Bezirk Schärding, Oberösterreich, 4782, Österreich"
1558,
1559,"Aussichtspunkt (Laufen, Oberndorf, Ostermiething, Moosdorf usw), Haunsberg Landesstraße, Hochberg, Schlößl, Nußdorf am Haunsberg, Bezirk Salzburg-Umgebung, Salzburg, 5151, Österreich"
1560,"Gemeinde St. Margarethen, Bezirk Eisenstadt-Umgebung, Burgenland, 7062, Österreich"
1561,"Stallhofen, Bezirk Voitsberg, Steiermark, 8152, Österreich"
1562,"Steinbach, Allentsteig, Bezirk Zwettl, Niederösterreich, 3804, Österreich"
1563,"Bad Mitterndorf, Bezirk Liezen, Steiermark, 8983, Österreich"
1564,"Sankt Ulrich bei Steyr, Bezirk Steyr-Land, Oberösterreich, 4400, Österreich"
1565,"Steyregg, Bezirk Urfahr-Umgebung, Oberösterreich, 4221, Österreich"
1567,"Straden, Bezirk Südoststeiermark, Steiermark, 8345, Österreich"
1568,"Straß, Kopfing im Innkreis, Bezirk Schärding, Oberösterreich, 4794, Österreich"
1569,"Straßwalchen, Bezirk Salzburg-Umgebung, Salzburg, 5204, Österreich"
1570,"Wies, Bezirk Deutschlandsberg, Steiermark, 8551, Österreich"
1571,"Tamsweg, Bezirk Tamsweg, Salzburg, 5580, Österreich"
1572,"Gemeinde Tannheim, Bezirk Reutte, Tirol, 6675, Österreich"
1573,"Taxenbach, Bezirk Zell am See, Salzburg, 5660, Österreich"
1574,"Teufenbach, Teufenbach-Katsch, Bezirk Murau, Steiermark, 8833, Österreich"
1575,"Thalgau, Bezirk Salzburg-Umgebung, Salzburg, 5303, Österreich"
1576,"Gemeinde Thaur, Bezirk Innsbruck-Land, Tirol, 6065, Österreich"
1577,"Gemeinde Raabs an der Thaya, Bezirk Waidhofen an der Thaya, Niederösterreich, Österreich"
1578,"Bad Waltersdorf, Bezirk Hartberg-Fürstenfeld, Steiermark, 8271, Österreich"
1579,"Gemeinde Thiersee, Bezirk Kufstein, Tirol, 6335, Österreich"
1580,"Timelkam, Bezirk Vöcklabruck, Oberösterreich, 4850, Österreich"
1581,"Gemeinde Lilienfeld, Bezirk Lilienfeld, Niederösterreich, 3180, Österreich"
1582,"Trieben, Bezirk Liezen, Steiermark, 8784, Österreich"
1584,"Turnau, Bezirk Bruck-Mürzzuschlag, Steiermark, 8625, Österreich"
1585,"Gemeinde Tux, Bezirk Schwaz, Tirol, Österreich"
1586,"Unken, Gemeinde Unken, Bezirk Zell am See, Salzburg, 5091, Österreich"
1587,"Uttendorf, Bezirk Zell am See, Salzburg, 5723, Österreich"
1589,"Stadtgemeinde Vils, Bezirk Reutte, Tirol, 6682, Österreich"
1590,"Völkermarkt, Obirstraße, Neubruch, Goldbrunnhof, Oschenitzen, Völkermarkt, Bezirk Völkermarkt, Kärnten, 9100, Österreich"
1591,"Voitsberg, Bezirk Voitsberg, Steiermark, 8570, Österreich"
1592,"Gemeinde Hittisau, Bezirk Bregenz, Vorarlberg, 6952, Österreich"
1593,"Gemeinde Oetz, Bezirk Imst, Tirol, 6433, Österreich"
1594,
1595,
1596,"Wagrain, Bezirk St. Johann im Pongau, Salzburg, 5602, Österreich"
1597,"Gemeinde Waidhofen an der Thaya, Bezirk Waidhofen an der Thaya, Niederösterreich, 3830, Österreich"
1598,"Wald im Pinzgau, Gemeinde Wald im Pinzgau, Bezirk Zell am See, Salzburg, 5742, Österreich"
1599,"Walding, Bezirk Urfahr-Umgebung, Oberösterreich, 4111, Österreich"
1600,"Waldzell, Bezirk Ried im Innkreis, Oberösterreich, 4924, Österreich"
1601,"Marktgemeinde Nenzing, Bezirk Bludenz, Vorarlberg, 6710, Österreich"
1602,"Wals, Wals-Siezenheim, Bezirk Salzburg-Umgebung, Salzburg, 5071, Österreich"
1603,"Wartberg an der Krems, Bezirk Kirchdorf, Oberösterreich, 4552, Österreich"
1604,"Dechantskirchen, Bezirk Hartberg-Fürstenfeld, Steiermark, 8241, Österreich"
1605,"Weiden am See, Bezirk Neusiedl am See, Burgenland, 7121, Österreich"
1606,"Gemeinde Sulzberg, Bezirk Bregenz, Vorarlberg, 6934, Österreich"
1607,"Weißkirchen an der Traun, Bezirk Wels-Land, Oberösterreich, 4616, Österreich"
1608,"Weitra, Gemeinde Weitra, Bezirk Gmünd, Niederösterreich, 3970, Österreich"
1609,"Kläranlage Stadtgemeinde Weiz, Preding, Weiz, Bezirk Weiz, Steiermark, 8160, Österreich"
1611,"Thalheim bei Wels, Bezirk Wels-Land, Oberösterreich, 4600, Österreich"
1612,"Wernberg, Bezirk Villach-Land, Kärnten, 9241, Österreich"
1613,"Gemeinde Westendorf, Bezirk Kitzbühel, Tirol, 6363, Österreich"
1614,"Gemeinde Axams, Bezirk Innsbruck-Land, Tirol, 6094, Österreich"
1615,"Weyer, Bezirk Steyr-Land, Oberösterreich, 3335, Österreich"
1616,"Pressbaum, Gemeinde Pressbaum, Bezirk St. Pölten, Niederösterreich, 3021, Österreich"
1617,"Wildon, Bezirk Leibnitz, Steiermark, 8410, Österreich"
1618,"Oberau, Niederthalheim, Bezirk Vöcklabruck, Oberösterreich, 4692, Österreich"
1619,"Windischgarsten, Bezirk Kirchdorf, Oberösterreich, 4580, Österreich"
1620,"Marktgemeinde Steinach am Brenner, Bezirk Innsbruck-Land, Tirol, 6150, Österreich"
1623,"Marktgemeinde Zell am Ziller, Bezirk Schwaz, Tirol, Österreich"
1626,"Neuhaus am Klausenbach, Bezirk Jennersdorf, Burgenland, 8385, Österreich"
1629,"Bezirk Oberpullendorf, Burgenland, Österreich"
1630,"Oberwart/Felsőőr, Bezirk Oberwart, Burgenland, 7400, Österreich"
1632,"Gemeinde Assling, Bezirk Lienz, Tirol, 9911, Österreich"
1633,"Auersthal, Gemeinde Auersthal, Bezirk Gänserndorf, Niederösterreich, 2214, Österreich"
1634,"Katastralgemeinde Blindenmarkt, Gemeinde Blindenmarkt, Bezirk Melk, Niederösterreich, 3372, Österreich"
1635,"Dobersberg, Bezirk Waidhofen an der Thaya, Niederösterreich, 3843, Österreich"
1636,"Ernstbrunn, Gemeinde Ernstbrunn, Bezirk Korneuburg, Niederösterreich, 2115, Österreich"
1637,"Gemeinde Mutters, Bezirk Innsbruck-Land, Tirol, 6162, Österreich"
1638,
1639,"Golling an der Salzach, Bezirk Hallein, Salzburg, 5440, Österreich"
1640,"Großgmain, Bezirk Salzburg-Umgebung, Salzburg, 5084, Österreich"
1641,"Großweikersdorf, Gemeinde Großweikersdorf, Bezirk Tulln, Niederösterreich, 3701, Österreich"
1642,
1644,"Hallwang, Bezirk Salzburg-Umgebung, Salzburg, 5300, Österreich"
1645,"Gemeinde Hart im Zillertal, Bezirk Schwaz, Tirol, 6265, Österreich"
1646,"Heiligeneich, Gemeinde Atzenbrugg, Bezirk Tulln, Niederösterreich, 3452, Österreich"
1647,"Kirchschlag in der Buckligen Welt, Gemeinde Kirchschlag, Bezirk Wiener Neustadt, Niederösterreich, 2860, Österreich"
1648,"Kuchl, Bezirk Hallein, Salzburg, 5431, Österreich"
1649,"Langkampfen, Bezirk Kufstein, Tirol, 6336, Österreich"
1650,"Gemeinde Nikolsdorf, Bezirk Lienz, Tirol, 9782, Österreich"
